what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1646817240040
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1646817240040
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1646817240040
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1646817240250
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1646817240250
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1646817240310
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1646817240320
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1646817240320
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1646817240320
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1646817240320
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1646817240330
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1646817240330
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1646817240330
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1646817240330
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1646817240330
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1646817240330
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1646817240340
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1646817240340
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1646817240340
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1646817240360
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1646817240360
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1646817240370
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1646817240370
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1646817240380
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1646817240380
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1646817240400
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1646817240400
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1646817240420
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1646817240430
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1646817240430
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1646817240430
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1646817240430
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1646817240430
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1646817240430
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1646817240430
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1646817240440
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1646817240440
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1646817240450
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1646817240460
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1646817240460
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1646817240460
started,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1646817240460
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1646817240460
os,sysinfo,,,"win32",1646817240460
arch,sysinfo,,,"x86",1646817240460
ws,sysinfo,,,"win32",1646817240460
locale,sysinfo,,,"ru_RU",1646817240460
processors,sysinfo,,,"4",1646817240460
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1646817240460
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1646817240460
java.specification.name,sysinfo,,,"Java Platform API Specification",1646817240460
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1646817240460
java.specification.version,sysinfo,,,"1.6",1646817240460
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1646817240460
java.version,sysinfo,,,"1.6.0_23",1646817240460
java.vm.info,sysinfo,,,"mixed mode",1646817240460
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1646817240460
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1646817240460
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1646817240460
java.vm.specification.version,sysinfo,,,"1.0",1646817240460
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1646817240460
java.vm.version,sysinfo,,,"19.0-b09",1646817240460
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1646817240560
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1646817240630
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1646817240910
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1646817241110
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1646817241210
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1646817243440
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1646817305346
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1646817305826
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1646817306626
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1646817306726
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1646817306726
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1646817306726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817310485
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1646817440385
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1646817440665
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1646817442785
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1646817446895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817456925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817459985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817462982
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1646817490472
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646817490502
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646817490802
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1646817490852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1646817558432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1646817656532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1646817665232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1646817666962
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1646817671072
executed,command,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project.commands.bspEditor",1646817685972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817686272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817784482
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1646817789082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817789512
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1646817813002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817818082
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1646817848932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817850722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817863222
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646817865372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1646817869662
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1646817870822
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1646817874312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817874602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817885262
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1646817893082
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646817922142
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1646817926742
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646817927532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1646817931572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817934172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646817953652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646818029669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646818032389
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1646818377788
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1646818377798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646818382628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646818386298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1646818760538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1646818761378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1646818764438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1646818775328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1646818875388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646819622627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646820471313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1646820880243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1646820881753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1646820913043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646820914383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646820953122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821068392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821386498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1646821390788
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1646821394158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821394548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821409038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821541355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821625419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821629779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821665263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821665653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821665713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821666363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821901651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821904788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821917886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821925263
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1646821930958
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1646821949192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821949826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646821957660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822001574
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1646822001599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822003179
error,log,,,"No Byte Stream Services found for Nios II Console View",1646822008696
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1646822009564
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1646822009612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822019795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822019843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822025461
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1646822025518
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1646822025532
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1646822025914
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1646822026056
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1646822026264
activated,perspective,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui.debugPerspective",1646822026354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822026456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822026603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822029842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822036917
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1646822039649
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1646822039652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822040996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822048245
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646822048991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822052042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822058471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822058477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822058537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822059648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822061877
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1646822061921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822063644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822069895
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646822069922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822076468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822078913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822079826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822083596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822093322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822099671
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1646822099699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822102018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822115660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822120732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822123519
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1646822123537
error,log,,,"No Byte Stream Services found for Nios II Console View",1646822127804
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1646822136303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822137363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822195441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822199601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822206291
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1646822206631
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646822207201
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1646822208771
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1646822208781
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1646822208781
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1646822209849
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1646822209849
stopped,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1646822209849
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1646822209849
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1646822209849
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1646822209849
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1646822209849
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1646822209849
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1646822209849
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1646822209929
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1646822209999
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1646822209999
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1646822209999
